Mes;rotacion_1;rotacion_2;rotacion_3;rotacion_4;rotacion_5;rotacion_6;rotacion_7;rotacion_8
1;GRAS;EUCA;SOYB;CORN;PAST;PAST;PAST;MONT
2;GRAS;EUCA;SOYB;CORN;PAST;OATS;PAST;MONT
3;GRAS;EUCA;SOYB;CORN;PAST;OATS;PAST;MONT
4;GRAS;EUCA;WWHT;PAST;PAST;OATS;PAST;MONT
5;GRAS;EUCA;WWHT;PAST;PAST;OATS;PAST;MONT
6;GRAS;EUCA;WWHT;PAST;PAST;OATS;PAST;MONT
7;GRAS;EUCA;WWHT;PAST;PAST;OATS;PAST;MONT
8;GRAS;EUCA;WWHT;PAST;PAST;OATS;PAST;MONT
9;GRAS;EUCA;WWHT;PAST;PAST;OATS;PAST;MONT
10;GRAS;EUCA;WWHT;PAST;PAST;SGHY;PAST;MONT
11;GRAS;EUCA;WWHT;PAST;PAST;SGHY;PAST;MONT
12;GRAS;EUCA;SOYB;PAST;PAST;SGHY;PAST;MONT
13;GRAS;EUCA;SOYB;PAST;PAST;SGHY;PAST;MONT
14;GRAS;EUCA;SOYB;PAST;PAST;SGHY;PAST;MONT
15;GRAS;EUCA;SOYB;PAST;PAST;SGHY;PAST;MONT
16;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
17;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
18;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
19;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
20;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
21;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
22;GRAS;EUCA;OATS;PAST;CORN;PAST;PAST;MONT
23;GRAS;EUCA;CORN;PAST;CORN;PAST;PAST;MONT
24;GRAS;EUCA;CORN;PAST;CORN;PAST;PAST;MONT
25;GRAS;EUCA;CORN;PAST;CORN;PAST;PAST;MONT
26;GRAS;EUCA;CORN;PAST;CORN;PAST;OATS;MONT
27;GRAS;EUCA;CORN;PAST;CORN;PAST;OATS;MONT
28;GRAS;EUCA;CORN;PAST;OATS;PAST;OATS;MONT
29;GRAS;EUCA;OATS;PAST;OATS;PAST;OATS;MONT
30;GRAS;EUCA;OATS;PAST;OATS;PAST;OATS;MONT
31;GRAS;EUCA;OATS;PAST;OATS;PAST;OATS;MONT
32;GRAS;EUCA;OATS;PAST;OATS;PAST;OATS;MONT
33;GRAS;EUCA;OATS;PAST;OATS;PAST;OATS;MONT
34;GRAS;EUCA;OATS;PAST;CORN;PAST;SGHY;MONT
35;GRAS;EUCA;SOYB;PAST;CORN;PAST;SGHY;MONT
36;GRAS;EUCA;SOYB;PAST;CORN;PAST;SGHY;MONT
37;GRAS;EUCA;SOYB;PAST;CORN;PAST;SGHY;MONT
38;GRAS;EUCA;SOYB;PAST;CORN;PAST;SGHY;MONT
39;GRAS;EUCA;SOYB;PAST;CORN;PAST;SGHY;MONT
40;GRAS;EUCA;WWHT;PAST;PAST;PAST;PAST;MONT
41;GRAS;EUCA;WWHT;PAST;PAST;PAST;PAST;MONT
42;GRAS;EUCA;WWHT;PAST;PAST;PAST;PAST;MONT
43;GRAS;EUCA;WWHT;PAST;PAST;PAST;PAST;MONT
44;GRAS;EUCA;WWHT;PAST;PAST;PAST;PAST;MONT
45;GRAS;EUCA;WWHT;PAST;PAST;PAST;PAST;MONT
46;GRAS;EUCA;WWHT;CORN;PAST;PAST;PAST;MONT
47;GRAS;EUCA;WWHT;CORN;PAST;PAST;PAST;MONT
48;GRAS;EUCA;SOYB;CORN;PAST;PAST;PAST;MONT
49;GRAS;EUCA;SOYB;CORN;PAST;PAST;PAST;MONT
50;GRAS;EUCA;SOYB;CORN;PAST;OATS;PAST;MONT
51;GRAS;EUCA;SOYB;CORN;PAST;OATS;PAST;MONT
52;GRAS;EUCA;OATS;OATS;PAST;OATS;PAST;MONT
53;GRAS;EUCA;OATS;OATS;PAST;OATS;PAST;MONT
54;GRAS;EUCA;OATS;OATS;PAST;OATS;PAST;MONT
55;GRAS;EUCA;OATS;OATS;PAST;OATS;PAST;MONT
56;GRAS;EUCA;OATS;OATS;PAST;OATS;PAST;MONT
57;GRAS;EUCA;OATS;OATS;PAST;OATS;PAST;MONT
58;GRAS;EUCA;OATS;CORN;PAST;SGHY;PAST;MONT
59;GRAS;EUCA;CORN;CORN;PAST;SGHY;PAST;MONT
60;GRAS;EUCA;CORN;CORN;PAST;SGHY;PAST;MONT
61;GRAS;EUCA;CORN;CORN;PAST;SGHY;PAST;MONT
62;GRAS;EUCA;CORN;CORN;PAST;SGHY;PAST;MONT
63;GRAS;EUCA;CORN;CORN;PAST;SGHY;PAST;MONT
64;GRAS;EUCA;CORN;PAST;PAST;PAST;PAST;MONT
65;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
66;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
67;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
68;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
69;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
70;GRAS;EUCA;OATS;PAST;PAST;PAST;PAST;MONT
71;GRAS;EUCA;SOYB;PAST;PAST;PAST;PAST;MONT
72;GRAS;EUCA;SOYB;PAST;PAST;PAST;PAST;MONT
